"gender","alwaysDepressed","alwaysAnxious","alwaysStressed","alwaysLoveAndCareForYourself","alwaysAccountableAndResponsibleForYourActions","alwaysCalm","extreAustraliayGoodAbilityToSense","alwaysHaveDigestiveProblems","myBodyIsHypermobileAndLovesToMove","alwaysHaveFun","alwaysSerious","extreAustraliayGoodCommunicator","iDontFeelParticularlyPleasedWithTheWayIAm","iAmIntenselyInterestedInOtherPeople","iFeelThatLifeIsVeryRewarding","iHaveVeryWarmFeelingsTowardsAlmostEveryone","iRarelyWakeUpFeelingRested","iAmNotParticularlyOptimisticAboutTheFuture","iFindMostThingsAmusing","iAmAlwaysCommittedAndInvolved","iDoNotThinkThatTheWorldIsAGoodPlace","iAmWellSatisfiedAboutEverythingInMyLife","iDontThinkILookAttractive","thereIsAGapBetweenWhatIWouldLikeToDoAndWhatIHaveDone","iAlwaysHaveACheerfulEffectOnOthers","iCanFitInFindTimeForEverythingIWantTo","iFeelThatIAmNotEspeciallyInControlOfMyLife","iFeelAbleToTakeAnythingOn","iFeelFullyMentallyAlert","iOftenExperienceJoyAndElation","iDontHaveAParticularSenseOfMeaningAndPurposeInMyLife","iFeelIHaveAGreatDealOfEnergy","iUsuallyHaveAGoodInfluenceOnEvents","iDontHaveFunWithOtherPeople","iDontHaveParticularlyHappyMemoriesOfThePast","onTheWholeIAmSatisfiedWithMyself","atTimesIThinkIAmNoGoodAtAll","iFeelThatIHaveANumberOfGoodQualities","iFeelIDoNotHaveMuchToBeProudOf","iCertainlyFeelUselessAtTimes","iFeelThatImAPersonOfWorth","iWishICouldHaveMoreRespectForMyself","allInAllIAmInclinedToThinkThatIAmAFailure","iTakeAPositiveAttitudeTowardMyself","leadersOughtToMakeUpTheirOwnMindsAndNotWasteTimeConsultingOther","betterDecisionsAreMadeWhenLeadersDiscussMattersWithOthersFirst","friendsUsuallyCantAgree","familyMembersUsuallyEnjoyDoingThingsTogether","iPreferNotToShareMyGoodIdeasWithOthers","iLikeToCooperateWithOthersOnProjects","itsFunToTakePartInRunningAClub","socialClubsHardlyEverWorkWell","itIsOftenDifficultWorkingWithOtherPeople","itIsMoreProductiveToWorkOnOnesOwn","teamWorkIsTheBestWayToGetResults","boysAndGirlsCanUsuallyWorkTogetherQuiteWell","involvementInJointProjectsIsVerySatisfying","itIsDifficultToArriveAtAnAgreedDecisionInGroups","committeesAreAWasteOfTime","iLikeToGetToKnowPeopleBetter","friendsOughtToBeConcernedAboutEachOthersWishes","peopleOfADifferentSexCanHardlyEverAgree","doYouFeelASenseOfPurposeAndMeaningInYourLife","doYouOftenFeelASenseOfGratitudeForTheGoodThingsHappenedInYourLi","doYouOftenExperienceASenseOfInnerPeaceAndCalmness","doYouBelieveInAHigherPowerOrDivineBeingThatInfluencesYourLife","howDoYouReconcileSpiritualBeliefsWithScientificOrRationalThinki","howOftenDoYouFeelSociallyConnectedWithYourPeersAndFriends","doYouHaveASupportSystemOfFriendsAndFamilyToTurnToWhenNeeded","howOftenDoYouParticipateInSocialActivitiesIncludingClubsSportsV","doYouFeelComfortableEngagingInConversationsWithPeopleFromDiffer","iLikeMyCurrentLivingAccomodation","iPreferStayingInAQuietPlace","iLikeCookingFood","iAmOpenToEngagingInPracticesToExpandMyKnowledgeBase","iAmOpenToEngagingInPracticesWhichFocusOnMyInterestsAndBeliefs","iFeelLikeIRegularlyDedicateTimeToMaintainMyWellness","iWillinglySeekOpportunitiesWhichFeelMeaningfulAndRewardingToMe","alwaysEngageInPreparingAndUsingYourSkillsAndTalentsInOrderToGai","alwaysMakingProgress","whenInAFriendshipIsYourRelationshipVeryIntimate","whenInASexualRelationshipIsYourRelationshipVeryIntimate","iFeelCapable","iAttemptToManageMyTimeToMaintainAHealthyWorkAndLifeBalance","happiness"
"Male",0,1,1,0,0,-1,0,-2,-2,-2,-2,-2,2,0,-2,0,0,0,1,0,0,0,-2,1,0,1,0,0,0,1,0,-2,0,-1,-1,0,0,1,1,1,0,1,-2,0,1,0,-2,0,0,0,-2,-2,0,0,-2,1,-2,-2,0,0,0,0,0,0,-2,"Yes","They are separate","Rarely","Yes, I have family","No","Sometimes",1,1,0,0,0,-1,0,0,0,1,1,0,0,-5.48325
"Male",-2,0,0,-2,1,0,-2,0,2,0,1,2,2,2,-2,0,-2,2,-2,0,2,-1,0,2,-2,-1,1,0,-2,0,1,-1,0,0,1,-1,2,0,1,2,0,0,1,-2,-1,0,1,-1,-1,1,1,-1,0,-1,0,0,1,0,0,0,2,0,-2,-1,-1,"No","They complement each other","Sometimes","Yes, I have both","More than three times a week","Never",1,0,2,1,1,0,1,0,1,0,0,-1,0,-12.7446
"Male",1,1,1,-2,-2,-1,0,1,0,0,0,-1,2,-2,-2,0,2,1,-2,1,1,-1,0,1,-2,0,2,-1,0,-1,2,-1,-1,0,0,0,-2,0,0,2,1,1,1,-2,-1,1,1,-1,-1,-2,-2,0,-2,2,-2,0,0,1,0,-2,0,1,-2,-1,-1,"Yes","They complement each other","Never","Yes, I have both","More than three times a week","Rarely",0,1,1,1,1,1,1,-2,0,0,1,0,0,-22.9335
"Female",-2,0,0,0,0,-1,1,-2,-2,0,0,0,0,-2,0,-2,-2,1,0,-1,-2,0,-1,1,2,0,-2,0,-2,1,1,-1,0,-1,-1,2,0,1,0,2,1,1,-2,0,-2,1,-1,1,-1,0,-2,0,-1,0,0,1,0,0,2,1,2,-2,0,1,1,"Yes","They are separate","Sometimes","Yes, I have family","At least once a week","Never",2,1,1,1,1,1,2,0,0,2,1,1,2,-11.3053
"Female",-1,1,0,-2,1,-2,1,1,0,0,-1,0,0,-2,1,0,2,-1,-2,0,-2,0,1,0,0,-1,2,0,-2,1,0,0,2,-1,-2,0,1,1,1,0,2,1,-2,0,-1,1,0,1,0,0,0,-1,-2,0,1,1,0,1,0,0,0,-1,1,1,-2,"Yes","They are separate","Sometimes","Yes, I have family","More than three times a week","Never",2,1,0,1,1,-1,0,0,0,2,0,2,0,-1.6681
"Female",-2,-2,0,1,0,-2,0,1,-1,-1,-2,-2,2,-2,0,-2,0,1,0,0,0,0,1,2,-2,-2,2,0,2,0,0,-2,0,2,0,0,1,0,2,1,-1,0,2,1,0,0,0,0,-2,0,-2,0,0,1,0,0,0,0,0,0,1,1,1,0,-1,"Yes","They complement each other","Sometimes","Yes, I have both","No","Sometimes",0,0,-2,1,1,-2,1,-2,-2,-2,-2,-1,0,-6.46163
"Female",-2,0,0,-2,1,-1,-2,0,-2,-1,-2,0,1,-2,1,1,-2,0,0,0,0,0,-1,0,1,-2,2,0,0,1,-2,-2,1,-2,-1,0,-2,2,-2,2,1,0,-2,0,2,1,-2,1,-1,1,-2,0,-2,1,-2,1,0,1,0,1,1,-2,0,1,-2,"Yes","They complement each other","Rarely","Yes, I have both","At least once a week","Never",0,0,1,2,2,0,2,-2,1,0,1,2,1,-4.48929
"Female",-1,-1,-1,0,0,2,2,-2,0,0,-1,0,-1,-1,1,0,-2,0,-1,1,0,2,-2,-1,0,1,-1,1,2,1,-1,0,0,0,-1,2,-1,0,-2,-1,2,-2,-1,1,-2,1,0,1,-1,-2,-2,-1,-1,-2,1,1,1,-1,-2,-1,0,0,1,1,2,"No","They complement each other","Always","No","No","Always",0,2,1,0,0,0,0,0,0,0,2,0,0,14.4571
"Female",1,-2,1,1,1,0,-2,-2,0,-2,0,0,-2,0,-2,0,-1,0,-2,0,1,-2,0,-2,0,1,0,0,-2,0,1,1,1,0,1,0,-2,0,0,1,1,0,0,1,1,-1,0,0,-1,-2,0,2,0,-2,0,-2,-2,0,0,-1,1,1,0,0,0,"Yes","They are separate","Rarely","Yes, I have family","No","Sometimes",0,-2,1,0,0,1,0,0,0,0,1,0,1,-11.5005
"Male",-2,1,0,1,0,0,0,1,0,-2,-2,-2,1,-2,1,0,1,2,0,0,-2,0,1,1,0,1,0,1,0,0,-2,1,1,0,0,0,0,1,0,0,-1,1,-1,1,1,2,-2,1,-2,1,0,2,-2,2,1,1,0,-1,0,1,0,-2,1,2,0,"Yes","They complement each other","Sometimes","Yes, I have both","More than three times a week","Sometimes",0,1,0,1,1,-2,1,0,0,0,-2,1,0,-11.7134
"Male",-2,-2,0,0,0,1,0,-2,2,1,0,0,2,0,0,1,-2,1,-1,1,1,0,0,2,-2,0,0,0,2,0,-2,0,0,0,-2,1,-2,1,1,-2,0,-1,0,1,-1,2,-2,1,-2,0,1,-2,-2,-2,1,2,2,1,-2,1,0,0,1,2,2,"Yes","They conflict","Never","Yes, I have family","At least once a week","Always",1,1,1,2,2,1,1,0,1,1,2,2,1,-11.257
"Female",0,2,0,1,0,1,0,0,2,1,-2,0,0,-1,0,0,0,0,0,1,0,0,0,0,1,0,-2,1,0,1,0,0,1,0,-2,0,0,0,-2,-2,0,0,-2,1,0,2,-1,0,-2,1,1,-2,-2,1,1,1,0,0,-1,0,2,0,0,1,0,"No","They complement each other","Sometimes","No","At least once a month","Always",1,1,1,2,2,1,1,1,0,0,0,1,1,0.771507
"Female",0,1,-2,-1,1,0,0,-2,1,-2,0,1,1,1,1,1,0,-2,0,0,-2,-2,0,1,-2,-1,1,-1,0,0,1,-2,1,-1,-2,1,-2,1,-2,2,1,1,-2,0,-2,1,-1,0,-1,2,1,-2,-1,-1,1,0,0,-2,-1,2,1,-1,0,0,-2,"No","They complement each other","Rarely","Yes, I have both","At least once a month","Never",1,0,2,2,1,2,1,0,1,1,-2,0,1,0.518463
"Male",0,-1,-2,0,0,0,0,-1,0,1,2,2,-2,-2,0,-2,0,1,1,0,0,0,-2,1,0,1,-2,-1,0,1,-2,-2,0,-2,0,1,-1,-1,-2,-1,0,-1,-2,1,0,1,-2,1,0,1,1,-2,-1,-2,2,0,2,-1,-2,0,0,-2,0,0,0,"No","They complement each other","Always","Yes, I have both","At least once a month","Sometimes",2,-2,1,0,0,1,0,1,-2,2,1,0,1,-1.18924
"Male",-2,-2,0,0,0,0,0,-1,-1,-1,1,-2,-2,-1,1,-1,0,-2,-2,1,-2,0,1,2,0,-2,-1,1,0,0,-2,0,-1,2,-1,1,0,0,-1,-2,1,2,-1,1,1,0,0,0,-2,1,-2,1,0,2,1,1,-2,2,2,0,0,0,0,1,1,"Yes","They complement each other","Sometimes","Yes, I have both","At least once a week","Sometimes",0,2,1,1,1,1,1,0,-2,-2,-2,1,1,-4.06079
"Female",-1,0,-2,-2,1,1,0,-2,0,0,-2,2,-2,-2,0,0,2,-2,0,1,-2,0,0,1,1,0,-2,0,0,1,1,-2,0,-1,1,0,1,0,0,-2,1,0,-1,0,-2,1,0,1,0,0,2,0,-2,1,2,0,1,2,-2,1,1,-2,2,1,-2,"No","They are separate","Rarely","Yes, I have family","More than three times a week","Never",1,2,2,1,1,2,1,0,1,1,2,1,2,-1.06688
"Female",0,-2,1,0,2,0,1,-2,-2,0,1,0,1,-2,-2,2,-1,0,1,0,0,-2,-1,2,0,1,0,0,1,0,-2,2,-1,-1,-2,0,0,1,-1,1,1,0,-2,1,-2,0,1,1,-2,1,1,-2,0,1,0,0,-2,1,1,1,1,-1,1,1,1,"Yes","They complement each other","Sometimes","Yes, I have family","At least once a month","Never",0,-1,1,2,2,1,1,1,1,0,0,1,1,0.809627
"Male",0,-2,0,0,0,0,0,0,0,-2,-2,1,2,-2,-2,-2,2,-2,1,0,1,-2,-1,1,1,-2,1,0,0,0,1,1,1,-2,1,-1,2,1,0,0,0,-2,0,1,0,1,0,0,2,1,1,1,0,1,-2,0,0,0,-2,1,1,0,0,0,-2,"Yes","They complement each other","Sometimes","Yes, I have family","More than three times a week","Sometimes",0,0,1,1,2,2,2,0,0,0,0,0,2,-13.4089
"Male",-2,-1,-1,2,1,0,1,-1,2,0,-1,1,-2,0,2,1,0,-1,0,1,-1,0,-2,-2,0,0,-1,2,2,0,-2,1,-1,-1,-1,1,0,0,-2,-2,0,-2,-2,1,-2,0,-2,1,-1,1,1,-2,-1,0,1,2,1,0,-2,1,0,-1,1,1,0,"Yes","They are separate","Sometimes","Yes, I have both","At least once a month","Rarely",-2,0,2,1,1,2,1,0,1,2,2,0,1,-16.1838
"Male",-2,0,1,-2,2,0,1,1,0,1,0,2,1,1,-2,1,0,2,1,1,1,1,1,0,2,1,2,1,1,0,1,-2,1,-1,0,0,1,1,0,1,0,2,-2,-1,1,0,1,2,2,2,2,0,1,1,2,0,2,2,0,1,0,-1,1,-1,0,"Yes","They complement each other","Rarely","Yes, I have family","At least once a week","Rarely",2,-2,1,1,1,1,1,1,-2,0,1,1,0,6.2182
"Female",-2,0,0,0,1,0,1,-2,0,-2,-2,0,1,0,-2,-2,0,-2,0,0,1,0,-1,0,-1,-1,0,0,-2,0,0,-1,1,0,-2,1,-2,2,0,-2,2,-2,-2,1,0,0,0,0,0,1,-1,-2,-2,-2,-2,0,-2,-1,-2,0,0,0,0,1,0,"No","They complement each other","Never","Yes, I have both","More than three times a week","Rarely",1,1,0,1,1,1,1,1,1,1,0,1,2,1.92755
"Male",0,1,1,0,0,-2,1,0,1,1,0,2,1,1,1,1,1,1,2,0,0,-2,-1,-2,-2,0,-2,0,0,1,0,2,1,-1,1,1,-2,0,0,-2,1,-2,-1,0,0,2,0,1,0,1,2,-2,-2,-2,1,0,1,-2,-1,2,0,-2,0,1,-1,"No","They complement each other","Never","Yes, I have both","More than three times a week","Always",0,0,1,1,2,0,0,-2,1,0,-1,1,1,-17.3389
"Male",-2,-1,-2,1,1,1,0,-1,-2,0,0,0,-1,1,1,1,-1,-2,1,0,1,-2,-2,1,0,0,-2,2,1,0,-2,0,1,-1,0,1,-2,1,-1,0,1,-2,0,2,-1,0,-2,1,-1,2,1,0,-1,-1,0,2,1,-1,-1,1,0,-1,1,0,0,"Yes","They conflict","Sometimes","Yes, I have family","More than three times a week","Never",1,-2,1,1,1,2,1,0,1,1,1,1,1,21.1326
"Female",-1,-2,-1,0,2,0,2,0,0,2,0,0,0,-1,-2,2,1,0,0,0,-1,2,1,2,-2,0,0,-1,0,0,-2,-2,-1,-1,0,0,0,0,0,1,0,2,0,-2,-1,1,-1,2,-2,1,0,-1,1,1,1,0,1,1,-2,1,0,-1,1,1,0,"Yes","They conflict","Never","Yes, I have family","At least once a week","Sometimes",1,0,0,2,1,0,0,1,1,1,1,1,0,-2.13397
"Female",-1,-2,-2,1,2,2,1,-2,1,2,-2,0,-1,0,1,0,-1,-2,0,1,-1,2,-1,-2,2,0,-1,2,-2,2,-2,1,1,-1,-1,2,-1,1,-2,-2,2,0,-2,2,-1,1,-1,0,-2,1,1,-2,-1,-1,2,2,1,-1,-1,2,2,-1,1,2,2,"No","They conflict","Never","Yes, I have family","No","Always",2,2,2,2,2,2,1,2,2,2,2,1,1,25.0903
"Female",-2,-2,0,0,1,-2,1,1,0,-2,1,0,-2,1,2,0,0,1,-2,0,-1,1,-2,1,0,0,-2,0,1,1,-2,0,0,-1,0,1,1,1,-1,0,1,-2,0,1,-1,1,-1,0,-1,0,0,-2,1,0,0,1,0,0,0,0,1,-2,1,1,2,"Yes","They complement each other","Sometimes","Yes, I have family","More than three times a week","Sometimes",2,0,0,2,2,0,1,-2,0,0,1,1,1,12.7472
"Male",-2,0,0,0,0,-2,0,0,-2,0,-2,-1,0,-1,0,0,2,0,-2,0,-2,0,1,2,-1,-1,1,0,0,-1,-2,-2,-1,0,-2,-1,0,0,0,0,0,-2,-1,-2,0,1,-1,1,0,0,-1,0,1,1,1,0,0,0,0,1,-2,0,0,1,-1,"No","They are separate","Never","Yes, I have both","No","Never",1,1,-1,1,1,0,1,-2,0,-2,0,1,1,-25.7711
"Male",-1,-2,-2,1,1,1,1,-2,1,0,-1,0,-2,-2,0,1,-1,-1,0,0,-2,0,-1,-2,1,-2,0,1,0,1,-1,1,1,-1,-2,0,-1,2,-1,0,1,0,-2,1,-1,1,1,0,-1,1,1,-1,-1,0,0,1,1,0,-2,1,2,-1,0,0,-2,"Yes","They conflict","Rarely","Yes, I have both","At least once a month","Always",1,0,1,1,1,1,1,2,1,0,1,1,1,6.0109
"Male",-2,0,2,-2,1,-2,-1,2,-2,0,0,-2,1,0,1,1,2,0,0,1,-2,-2,1,0,-2,1,0,-1,0,0,0,-2,-1,-1,1,-1,1,0,1,1,1,1,0,-2,-2,1,2,0,-1,-2,0,1,0,2,-2,0,-2,1,0,0,1,0,0,0,1,"Yes","They complement each other","Sometimes","Yes, I have both","No","Sometimes",0,0,-2,0,-1,-1,0,1,2,0,0,0,-1,-26.9101
"Female",-2,-1,-2,1,1,-2,0,-1,-2,-2,-1,2,-1,1,2,1,-1,-1,1,2,-1,0,-2,0,2,0,-1,1,2,1,-1,0,1,-1,-1,1,0,2,-2,1,2,0,-1,2,0,1,-2,1,-1,2,1,-2,-2,0,1,2,0,-2,0,1,2,-2,1,1,2,"Yes","They complement each other","Sometimes","Yes, I have family","At least once a month","Always",1,1,2,2,2,1,2,1,1,1,2,1,1,5.26398
"Male",0,0,1,-2,2,-2,0,0,-2,-2,1,1,0,0,-2,0,0,0,-2,1,1,-1,0,2,-2,0,1,0,0,0,1,1,0,-2,2,1,0,0,-1,0,1,1,-1,-2,-1,2,-2,-1,1,0,1,0,1,-1,1,1,1,0,-1,1,0,0,1,1,-2,"No","They complement each other","Sometimes","No","No","Sometimes",0,0,1,1,1,-2,1,-2,0,0,0,0,0,-1.83456
"Male",-2,0,-1,1,0,0,1,0,0,1,1,1,0,-1,2,-2,0,-2,1,2,-1,0,-1,1,1,0,-1,0,1,1,-1,0,1,-2,-1,1,0,1,0,-1,2,1,-1,2,1,1,1,0,-2,2,2,-2,-2,2,1,2,1,2,1,0,2,-2,2,2,2,"Yes","They complement each other","Sometimes","No","At least once a week","Always",1,1,0,2,1,0,2,1,0,0,0,1,0,-1.3203
"Female",1,-2,1,1,2,0,1,0,-1,-2,1,0,0,2,-2,0,-2,1,0,0,1,0,-2,0,-2,-2,0,-1,0,0,-2,-2,-1,0,2,0,-2,0,-2,-2,0,0,0,-2,1,0,0,0,-1,-1,-1,-2,1,0,-2,-1,-2,0,0,0,0,-2,-2,-1,-1,"No","They conflict","Rarely","Yes, I have both","More than three times a week","Rarely",-2,0,-2,0,0,-1,0,1,0,1,0,-1,0,-8.31247
"Male",-2,-2,-2,0,2,2,2,-2,2,2,2,2,0,2,1,2,-1,-2,2,1,0,-2,-1,0,2,2,-2,1,0,0,0,0,1,-1,-1,1,-2,1,-2,-2,1,1,-2,1,0,2,1,1,-1,2,2,0,-1,-2,1,2,1,-1,-1,2,0,-2,1,0,1,"Yes","They are separate","Always","Yes, I have both","At least once a month","Always",-2,0,2,1,2,1,1,2,2,0,1,1,1,3.76551
"Male",-2,-2,0,2,0,1,0,0,-2,2,-2,0,0,0,1,1,-1,-2,1,0,2,0,1,1,1,-1,1,2,0,0,1,0,0,-1,-1,1,0,1,-2,1,1,0,-1,1,-1,1,-2,1,-1,1,2,-2,-1,-2,-2,2,2,-2,0,1,1,-1,0,1,1,"Yes","They conflict","Sometimes","Yes, I have both","At least once a week","Never",2,0,2,1,1,2,2,2,1,0,2,0,2,-1.43835
"Male",-1,-2,-1,-2,1,1,2,-1,-1,-2,-1,1,-2,1,2,-2,-1,-1,0,1,-1,0,-2,0,2,0,0,2,1,1,-1,1,1,-1,-1,1,0,2,-1,0,2,1,-1,1,-2,2,-1,1,-2,2,2,0,-2,1,2,2,1,0,0,2,1,-1,2,1,1,"Yes","They are separate","Never","Yes, I have family","No","Sometimes",1,2,2,1,1,0,1,0,0,2,0,2,0,7.36513
